ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Dias_Resfriando_Consecutivos,Alerta_Resfriamento,Mudou,Bloco,Status_Anterior,Carregou,Descarregou
643b8109,26,Resfriando,2025-08-02,UPC-Mata Verde,Resfriando,0,,2,,False,14,Resfriando,False,False
dfa3d550,26,Resfriando,2025-08-03,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,14,Resfriando,False,False
8cf06826,26,Resfriando,2025-08-04,UPC-Mata Verde,Resfriando,0,,4,Forno resfriando há 4 dias consecutivos!,False,14,Resfriando,False,False
2f376063,26,Resfriando,2025-08-05,UPC-Mata Verde,Resfriando,0,,5,Forno resfriando há 5 dias consecutivos!,False,14,Resfriando,False,False
254f3e5f,26,Descarregado,2025-08-06,UPC-Mata Verde,Descarregado,0,,0,,True,15,Resfriando,False,True
a0379e10,26,Descarregado,2025-08-07,UPC-Mata Verde,Vazio,1,,0,,True,16,Descarregado,False,False
19a5d39d,26,Vazio,2025-08-08,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,0,,False,16,Vazio,False,False
4bcb7702,26,Vazio,2025-08-09,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,0,,False,16,Vazio,False,False
64f1b321,26,Vazio,2025-08-10,UPC-Mata Verde,Vazio,4,Forno vazio há 4 dias consecutivos!,0,,False,16,Vazio,False,False
796ab3c5,26,Vazio,2025-08-11,UPC-Mata Verde,Vazio,5,Forno vazio há 5 dias consecutivos!,0,,False,16,Vazio,False,False
0ea91f51,26,Carregado,2025-08-12,UPC-Mata Verde,Carregado,0,,0,,True,17,Vazio,True,False
43cb3fb2,26,Carbonizando,2025-08-13,UPC-Mata Verde,Carbonizando,0,,0,,True,18,Carregado,False,False
e1ac1894,26,Carbonizando,2025-08-14,UPC-Mata Verde,Carbonizando,0,,0,,False,18,Carbonizando,False,False
30486a68,26,Carbonizando,2025-08-15,UPC-Mata Verde,Carbonizando,0,,0,,False,18,Carbonizando,False,False
bbab14bd,26,Carbonizando,2025-08-16,UPC-Mata Verde,Carbonizando,0,,0,,False,18,Carbonizando,False,False
121a26fa,26,Resfriando,2025-08-17,UPC-Mata Verde,Resfriando,0,,1,,True,19,Carbonizando,False,False
35d256c1,26,Resfriando,2025-08-18,UPC-Mata Verde,Resfriando,0,,2,,False,19,Resfriando,False,False
0d1151d6,26,Resfriando,2025-08-19,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,19,Resfriando,False,False
7990f957,26,Resfriando,2025-08-20,UPC-Mata Verde,Resfriando,0,,4,Forno resfriando há 4 dias consecutivos!,False,19,Resfriando,False,False
acd55806,26,Resfriando,2025-08-21,UPC-Mata Verde,Resfriando,0,,5,Forno resfriando há 5 dias consecutivos!,False,19,Resfriando,False,False
7c2a5096,26,Resfriando,2025-08-22,UPC-Mata Verde,Resfriando,0,,6,Forno resfriando há 6 dias consecutivos!,False,19,Resfriando,False,False
01b9bbb3,26,Resfriando,2025-08-23,UPC-Mata Verde,Resfriando,0,,7,Forno resfriando há 7 dias consecutivos!,False,19,Resfriando,False,False
c446444c,26,Resfriando,2025-08-24,UPC-Mata Verde,Resfriando,0,,8,Forno resfriando há 8 dias consecutivos!,False,19,Resfriando,False,False
1b1e8071,26,Resfriando,2025-08-25,UPC-Mata Verde,Resfriando,0,,9,Forno resfriando há 9 dias consecutivos!,False,19,Resfriando,False,False
dee492cb,26,Resfriando,2025-08-26,UPC-Mata Verde,Resfriando,0,,10,Forno resfriando há 10 dias consecutivos!,False,19,Resfriando,False,False
3944c62b,26,Descarregado,2025-08-27,UPC-Mata Verde,Descarregado,0,,0,,True,20,Resfriando,False,True
06d130ed,26,Vazio,2025-08-28,UPC-Mata Verde,Vazio,1,,0,,True,21,Descarregado,False,False
f96483e8,26,Vazio,2025-08-29,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,0,,False,21,Vazio,False,False
3cf8f347,26,Vazio,2025-08-30,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,0,,False,21,Vazio,False,False
a9476d82,26,Vazio,2025-08-31,UPC-Mata Verde,Vazio,4,Forno vazio há 4 dias consecutivos!,0,,False,21,Vazio,False,False
73866919,26,Vazio,2025-09-01,UPC-Mata Verde,Vazio,5,Forno vazio há 5 dias consecutivos!,0,,False,21,Vazio,False,False
