ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Dias_Resfriando_Consecutivos,Alerta_Resfriamento,Mudou,Bloco,Status_Anterior,Carregou,Descarregou
31e3dec8,59,Carbonizando,2025-07-22,UPC-Mata Verde,Carbonizando,0,,0,,False,12,Carbonizando,False,False
63cce7ca,59,Carbonizando,2025-07-23,UPC-Mata Verde,Carbonizando,0,,0,,False,12,Carbonizando,False,False
9a238d8a,59,Carbonizando,2025-07-24,UPC-Mata Verde,Carbonizando,0,,0,,False,12,Carbonizando,False,False
72ddcec5,59,Resfriando,2025-07-25,UPC-Mata Verde,Resfriando,0,,1,,True,13,Carbonizando,False,False
3a1af6c3,59,Resfriando,2025-07-26,UPC-Mata Verde,Resfriando,0,,2,,False,13,Resfriando,False,False
c5982aac,59,Resfriando,2025-07-27,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,13,Resfriando,False,False
9d4f136d,59,Resfriando,2025-07-28,UPC-Mata Verde,Resfriando,0,,4,Forno resfriando há 4 dias consecutivos!,False,13,Resfriando,False,False
ca91db1e,59,Resfriando,2025-07-29,UPC-Mata Verde,Resfriando,0,,5,Forno resfriando há 5 dias consecutivos!,False,13,Resfriando,False,False
ddf01aa5,59,Resfriando,2025-07-30,UPC-Mata Verde,Resfriando,0,,6,Forno resfriando há 6 dias consecutivos!,False,13,Resfriando,False,False
369b9d1e,59,Resfriando,2025-07-31,UPC-Mata Verde,Resfriando,0,,7,Forno resfriando há 7 dias consecutivos!,False,13,Resfriando,False,False
006db644,59,Resfriando,2025-08-01,UPC-Mata Verde,Resfriando,0,,8,Forno resfriando há 8 dias consecutivos!,False,13,Resfriando,False,False
643b8109,59,Resfriando,2025-08-02,UPC-Mata Verde,Resfriando,0,,9,Forno resfriando há 9 dias consecutivos!,False,13,Resfriando,False,False
dfa3d550,59,Resfriando,2025-08-03,UPC-Mata Verde,Resfriando,0,,10,Forno resfriando há 10 dias consecutivos!,False,13,Resfriando,False,False
8cf06826,59,Descarregado,2025-08-04,UPC-Mata Verde,Descarregado,0,,0,,True,14,Resfriando,False,True
2f376063,59,Vazio,2025-08-05,UPC-Mata Verde,Vazio,1,,0,,True,15,Descarregado,False,False
254f3e5f,59,Vazio,2025-08-06,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,0,,False,15,Vazio,False,False
a0379e10,59,Vazio,2025-08-07,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,0,,False,15,Vazio,False,False
19a5d39d,59,Carregado,2025-08-08,UPC-Mata Verde,Carregado,0,,0,,True,16,Vazio,True,False
4bcb7702,59,Carbonizando,2025-08-09,UPC-Mata Verde,Carbonizando,0,,0,,True,17,Carregado,False,False
64f1b321,59,Carbonizando,2025-08-10,UPC-Mata Verde,Carbonizando,0,,0,,False,17,Carbonizando,False,False
796ab3c5,59,Carbonizando,2025-08-11,UPC-Mata Verde,Carbonizando,0,,0,,False,17,Carbonizando,False,False
0ea91f51,59,Carbonizando,2025-08-12,UPC-Mata Verde,Carbonizando,0,,0,,False,17,Carbonizando,False,False
43cb3fb2,59,Carbonizando,2025-08-13,UPC-Mata Verde,Carbonizando,0,,0,,False,17,Carbonizando,False,False
e1ac1894,59,Resfriando,2025-08-14,UPC-Mata Verde,Resfriando,0,,1,,True,18,Carbonizando,False,False
30486a68,59,Resfriando,2025-08-15,UPC-Mata Verde,Resfriando,0,,2,,False,18,Resfriando,False,False
bbab14bd,59,Resfriando,2025-08-16,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,18,Resfriando,False,False
121a26fa,59,Resfriando,2025-08-17,UPC-Mata Verde,Resfriando,0,,4,Forno resfriando há 4 dias consecutivos!,False,18,Resfriando,False,False
35d256c1,59,Resfriando,2025-08-18,UPC-Mata Verde,Resfriando,0,,5,Forno resfriando há 5 dias consecutivos!,False,18,Resfriando,False,False
0d1151d6,59,Resfriando,2025-08-19,UPC-Mata Verde,Resfriando,0,,6,Forno resfriando há 6 dias consecutivos!,False,18,Resfriando,False,False
7990f957,59,Resfriando,2025-08-20,UPC-Mata Verde,Resfriando,0,,7,Forno resfriando há 7 dias consecutivos!,False,18,Resfriando,False,False
