Forno,Status_Ajustado,Media_dias
58,Vazio,3.4
59,Carbonizando,3.4
59,Carregado,1.0
59,Descarregado,1.0
59,Resfriando,6.25
59,Vazio,3.4
60,Carbonizando,3.0
60,Carregado,1.0
60,Descarregado,1.0
60,Resfriando,6.75
60,Vazio,3.6
